video_id,title,publish_date,publish_hour,views,likes,comments,shares,duration,video_type,conversions,live_uv,peak_online,avg_watch_time,gmv,order_conversion_rate,ad_cost,cpm,roi,danmu_count,gift_count,follow_conversion_rate
V013,这个厨具我用了3年，真的好用到哭,2026-02-19,11,19845,2209,373,358,38,好物推荐,10,15507,1695,157,810,0.06,355,17.89,128.17,1074,34,4.54
V014,3分钟学会做饭，新手也能零失败,2026-01-24,19,39166,3889,1053,362,51,教程,40,27002,2503,151,6840,0.15,596,15.22,1047.65,3443,85,3.8
V015,包包必买清单，不买后悔,2026-02-23,6,8490,1014,235,161,38,好物推荐,3,6145,854,53,570,0.05,376,44.29,51.6,922,15,3.81
V016,文具宝藏好物，用过都说好,2026-02-03,0,17669,2122,293,103,42,好物推荐,12,13580,1233,169,1236,0.09,294,16.64,320.41,1213,35,4.2
V017,设计师的一天，看完笑出声,2026-02-14,7,10737,926,198,194,41,剧情,2,7016,360,98,306,0.03,156,14.53,96.15,447,18,2.29
V018,戴森吹风机真的值得买吗？实测告诉你,2026-01-03,9,17284,2070,445,306,55,测评,9,12029,1497,173,1332,0.07,600,34.71,122.0,2088,36,1.06
V019,这个文具我用了3年，真的好用到哭,2026-01-05,20,27373,1386,498,481,52,好物推荐,7,17785,2375,131,658,0.04,223,8.15,195.07,2033,26,3.6
V020,口红必买清单，不买后悔,2026-01-24,21,25567,2014,479,358,59,好物推荐,11,16921,907,53,1199,0.07,369,14.43,224.93,2195,25,3.98
V021,设计师的一天，看完笑出声,2026-02-08,19,21215,1154,426,357,37,剧情,3,13359,2001,179,207,0.02,375,17.68,-44.8,1765,16,2.43
V022,鞋子好物分享，必买清单,2026-01-24,20,43629,4777,1091,510,43,好物推荐,18,32937,2732,55,2214,0.05,478,10.96,363.18,2433,64,2.32
V023,新手必看做饭教程，手把手教你,2026-02-19,13,14984,2126,199,291,57,教程,14,10497,711,142,1918,0.13,516,34.44,271.71,879,58,1.63
V024,程序员的日常，太真实了,2026-02-06,20,35898,2993,407,444,16,剧情,12,28334,3132,126,684,0.04,263,7.33,160.08,1470,83,1.26
V025,空气炸锅对比测评，哪个更好用？,2026-01-20,21,44004,6347,1096,666,56,测评,27,29157,2276,38,4752,0.09,565,12.84,741.06,4546,122,2.07
V026,修图保姆级教程，看完就会,2026-01-17,19,39242,3999,738,392,58,教程,30,27604,2129,39,2700,0.11,487,12.41,454.41,2465,63,3.54
V027,3分钟学会做饭，新手也能零失败,2026-01-03,19,42077,4316,1226,709,51,教程,42,27532,4056,121,7686,0.15,533,12.67,1342.03,4061,126,3.26
V028,空气炸锅全方位测评，优缺点都在这,2026-03-01,2,10059,794,142,74,49,测评,7,7909,1110,70,924,0.09,713,70.88,29.59,473,17,2.64
V029,护肤品好物分享，必买清单,2026-02-05,19,43709,2917,955,835,51,好物推荐,25,30147,3261,39,2650,0.08,346,7.92,665.9,4602,44,4.23
V030,这个包包我用了3年，真的好用到哭,2026-02-10,20,49420,2851,990,367,42,好物推荐,15,30200,4154,67,1170,0.05,333,6.74,251.35,3481,51,4.86
V031,做PPT保姆级教程，看完就会,2026-02-27,6,5046,496,54,91,36,教程,5,3236,343,99,760,0.15,377,74.71,101.59,133,9,1.73
V032,数码产品太好用了，强烈推荐,2026-02-17,18,10035,1265,274,167,60,好物推荐,3,6387,413,94,429,0.05,342,34.08,25.44,578,34,4.18
V033,iPhone 15 Pro真的值得买吗？实测告诉你,2026-01-15,1,6340,574,131,53,86,测评,2,4906,321,48,332,0.04,898,141.64,-63.03,284,12,4.85
V034,拍照保姆级教程，看完就会,2026-02-12,6,15312,1323,399,259,44,教程,10,11122,1468,33,1500,0.09,356,23.25,321.35,1058,17,1.29
V035,文具太好用了，强烈推荐,2026-01-03,20,44199,2366,524,261,49,好物推荐,20,31690,2759,48,3020,0.06,259,5.86,1066.02,1909,51,3.61
V036,创业者日常vlog，记录生活,2026-01-27,19,42853,4595,717,661,27,剧情,15,32250,4724,77,1440,0.05,332,7.75,333.73,2519,130,1.53
V037,护肤品真的值得买吗？实测告诉你,2026-01-25,1,8657,1013,241,158,60,测评,5,6527,482,137,440,0.08,865,99.92,-49.13,923,16,1.01
V038,创业者的一天，看完笑出声,2026-02-02,11,7269,765,198,68,35,剧情,2,4936,336,129,190,0.04,150,20.64,26.67,396,20,3.22
V039,宝妈搞笑瞬间，笑死我了,2026-02-07,19,37376,5132,678,287,38,剧情,12,24901,3223,178,816,0.05,130,3.48,527.69,2002,102,4.75
V040,洗碗机深度测评，值不值得买？,2026-01-21,19,48482,4593,992,737,73,测评,43,33440,2117,49,6665,0.13,662,13.65,906.8,2915,81,2.05
V041,护肤品对比测评，哪个更好用？,2026-01-23,7,12186,1497,299,238,72,测评,7,8816,1168,64,1232,0.08,772,63.35,59.59,877,33,2.99
V042,学生党的日常，太真实了,2026-01-31,21,48749,4091,1375,754,22,剧情,16,36966,4170,34,2896,0.04,189,3.88,1432.28,4685,45,4.73
V043,包包必买清单，不买后悔,2026-02-04,5,12719,1609,355,200,48,好物推荐,3,9962,1063,75,219,0.03,369,29.01,-40.65,839,37,2.54
V044,厨具太好用了，强烈推荐,2026-02-26,19,46223,4472,684,287,43,好物推荐,11,28912,3260,139,1408,0.04,336,7.27,319.05,1482,46,4.36
V045,护肤品深度测评，值不值得买？,2026-01-23,6,10450,1415,155,55,77,测评,9,7960,463,151,1395,0.11,564,53.97,147.34,745,21,2.36
V046,洗碗机对比测评，哪个更好用？,2026-02-28,22,11077,892,264,180,59,测评,6,8217,1039,171,858,0.07,598,53.99,43.48,1263,10,1.01
V047,包包太好用了，强烈推荐,2026-01-13,21,46793,4734,1361,486,46,好物推荐,20,33436,2618,99,3540,0.06,273,5.83,1196.7,3283,86,1.59
V048,上班族搞笑瞬间，笑死我了,2026-02-08,1,5071,273,82,47,29,剧情,0,3387,398,65,0,0.0,148,29.19,-100.0,336,3,3.63
V049,这个厨具我用了3年，真的好用到哭,2026-02-25,1,11418,1119,182,107,49,好物推荐,5,8996,917,83,360,0.06,483,42.3,-25.47,631,21,4.95
V050,今天又是老师的一天,2026-01-15,17,14925,1931,157,195,18,剧情,4,9125,1050,93,376,0.04,205,13.74,83.41,719,46,1.3
